EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
TEK SPIKES LLC,DATA ENGINEER,"95,120","FRISCO, TX",10/21/2022,10/24/2022
EATEAM INC,DATA ENGINEER,"95,200","ATLANTA, GA",07/25/2022,01/06/2023
EATEAM INC,DATA ENGINEER,"95,200","ATLANTA, GA",08/17/2022,08/17/2022
EALEARN INC,DATA ENGINEER,"95,280","REDMOND, WA",03/23/2022,03/23/2022
EALEARN INC,DATA ENGINEER,"95,280","REDMOND, WA",03/23/2022,03/23/2022
EALEARN INC,DATA ENGINEER,"95,280","REDMOND, WA",04/13/2022,04/13/2022
EALEARN INC,DATA ENGINEER,"95,280","REDMOND, WA",04/13/2022,04/13/2022
EALEARN INC,DATA ENGINEER,"95,280","PLEASANTON, CA",01/26/2022,01/26/2022
TEKNXPERT LLC,DATA ENGINEER,"95,280","SAN FRANCISCO, CA",05/13/2022,10/01/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"96,100","KANSAS CITY, MO",06/10/2022,10/01/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"97,140","WESTLAKE, FL",03/14/2022,03/14/2022
SNOWSTACK LLC,DATA ENGINEER,"97,840","NEW YORK, NY",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"97,840","NEW YORK, NY",04/23/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"97,840","DENVER, CO",05/15/2022,10/01/2022
VIDLEXINFO LLC,DATA ENGINEER,"97,840","CINCINNATI, OH",06/01/2022,10/01/2022
SNOWSTACK LLC,DATA ENGINEER,"97,840","PLAINSBORO, NJ",06/03/2022,10/01/2022
GVKTEK INC,DATA ENGINEER,"97,840","NEW YORK, NY",06/13/2022,10/01/2022
SAGGI SOLUTIONS INC,DATA ENGINEER,"98,000","FORT MILL, SC",09/30/2022,10/09/2022
COGNOWIZ LLC,DATA ENGINEER,"98,200","ALEXANDRIA, VA",06/13/2022,10/01/2022
ITLIZE GLOBAL LLC,DATA ENGINEER,"98,540","BENTONVILLE, AR",07/20/2022,08/01/2022
ITLIZE GLOBAL LLC,DATA ENGINEER,"98,540","PHOENIX, AZ",09/20/2022,12/01/2022
AMGEN INC,DATA ENGINEER,"98,880","TAMPA, FL",06/16/2022,06/27/2022
ITLIZE GLOBAL LLC,DATA ENGINEER,"99,960","WOONSOCKET, RI",10/05/2022,10/17/2022
SLOKA TECHNOLOGIES LLC,DATA ENGINEER,"100,000","REDMOND, WA",07/14/2022,07/25/2022
SAGARSOFT INC,DATA ENGINEER,"100,000","MORRISVILLE, NC",03/21/2022,03/30/2022
CDI SOLUTIONS INC,DATA ENGINEER,"100,000","HOUSTON, TX",03/22/2022,04/04/2022
